Date,SSE50,CSI300,CSI500
2012/10/22,1643.34,2341.59,3298.49
2012/10/23,1625.81,2312.08,3259.07
2012/10/24,1623.64,2307.78,3257.92
2012/10/25,1612.95,2291.24,3226.17
2012/10/26,1584.7,2247.91,3163.3
2012/10/29,1571.53,2235.85,3158.94
2012/10/30,1576.32,2239.88,3160.69
2012/10/31,1587.05,2254.82,3168.1
2012/11/1,1617.73,2297.88,3228.19
2012/11/2,1626.61,2306.77,3249.55
2012/11/5,1624.71,2301.88,3235.35
2012/11/6,1619.74,2292.21,3213.26
2012/11/7,1617.83,2287.51,3209.14
2012/11/8,1591.62,2245.41,3129.57
2012/11/9,1591.85,2240.92,3116.98
2012/11/12,1600.88,2251.85,3136.31
2012/11/13,1575.26,2212.44,3072.12
2012/11/14,1581.95,2223.11,3081.25
2012/11/15,1563.7,2193.62,3026.84
2012/11/16,1551.56,2177.24,3009.15
2012/11/19,1550.89,2174.99,3016.16
2012/11/20,1540.49,2164.88,3004.18
2012/11/21,1562.97,2194.9,3035.28
2012/11/22,1554.75,2177.55,2995.09
2012/11/23,1568.75,2192.68,3005.46
2012/11/26,1563.2,2175.6,2970.32
2012/11/27,1552.92,2150.64,2864.17
2012/11/28,1542.07,2129.16,2800.54
2012/11/29,1532.92,2115.68,2774.18
2012/11/30,1547.76,2139.66,2816.62
2012/12/3,1532.18,2108.85,2749.13
2012/12/4,1545.95,2131.47,2783.41
2012/12/5,1601.74,2207.88,2886.19
2012/12/6,1600.42,2203.6,2884.35
2012/12/7,1634.92,2246.76,2950.19
2012/12/10,1653.28,2271.05,3002.23
2012/12/11,1645.01,2258.5,2982.03
2012/12/12,1657.13,2267.77,2982.89
2012/12/13,1635.63,2242.64,2943.28
2012/12/14,1728.06,2355.87,3066.23
2012/12/17,1738.85,2366.7,3091.88
2012/12/18,1744.85,2368.12,3086.58
2012/12/19,1744.02,2371.11,3099.09
2012/12/20,1751.94,2384.82,3108.86
2012/12/21,1737.99,2372,3101.07
2012/12/24,1746.44,2381.22,3117.7
2012/12/25,1798.88,2448.4,3189.09
2012/12/26,1800.56,2457.62,3228.68
2012/12/27,1786.78,2444.59,3199.48
2012/12/28,1817.85,2480.05,3235.2
2012/12/31,1857.68,2522.95,3275.86
2013/1/4,1870.5,2524.41,3258.25
2013/1/7,1880.26,2535.99,3288.37
2013/1/8,1857.69,2525.33,3327.04
2013/1/9,1855.34,2526.13,3334.99
2013/1/10,1855.49,2530.57,3356.35
2013/1/11,1818.98,2483.23,3271.18
2013/1/14,1893.1,2577.73,3384.75
2013/1/15,1900.05,2595.86,3450.68
2013/1/16,1877,2577.09,3450.56
2013/1/17,1854.94,2552.76,3408.02
2013/1/18,1886.79,2595.44,3464.65
2013/1/21,1898.44,2610.9,3491.12
2013/1/22,1898.5,2596.9,3435.43
2013/1/23,1910.14,2607.46,3441.75
2013/1/24,1900.18,2582.76,3369.73
2013/1/25,1886.45,2571.67,3364.06
2013/1/28,1957.4,2651.86,3449.79
2013/1/29,1982.62,2675.87,3482.52
2013/1/30,1989.32,2688.71,3500.58
2013/1/31,1993.25,2686.88,3479.64
2013/2/1,2055.72,2743.32,3507.71
2013/2/4,2065.39,2748.03,3484.36
2013/2/5,2068.95,2771.68,3520.65
2013/2/6,2078.49,2775.84,3544.39
2013/2/7,2048.58,2759.87,3557.67
2013/2/8,2042.42,2771.73,3608.59
2013/2/18,2014.58,2737.47,3627.78
2013/2/19,1981.07,2685.61,3561.36
2013/2/20,1978.3,2702.64,3635.38
2013/2/21,1897.9,2610.55,3560.32
2013/2/22,1883.48,2596.6,3548.36
2013/2/25,1890.77,2604.96,3587.59
2013/2/26,1865.13,2567.6,3533.2
2013/2/27,1889.48,2594.68,3535.9
2013/2/28,1956.61,2673.33,3608.2
2013/3/1,1944.42,2668.84,3648.42
2013/3/4,1841.62,2545.72,3518.72
2013/3/5,1916.71,2622.81,3597.92
2013/3/6,1933.7,2650.2,3653.93
2013/3/7,1902.37,2619.48,3609.64
2013/3/8,1901.48,2606.93,3570.38
2013/3/11,1879.82,2592.37,3571.11
2013/3/12,1854.62,2555.62,3481.18
2013/3/13,1835.61,2527.49,3449.35
2013/3/14,1838.36,2534.27,3464.85
2013/3/15,1841.32,2539.87,3471.21
2013/3/18,1811.24,2502.49,3427.12
2013/3/19,1830.96,2525.1,3438.07
2013/3/20,1905.77,2610.17,3527.77
2013/3/21,1902.3,2614.99,3565.02
2013/3/22,1904.46,2618.31,3579.92
2013/3/25,1901.93,2613.1,3568.52
2013/3/26,1861.26,2575.05,3543.81
2013/3/27,1868.44,2583.53,3552.26
2013/3/28,1791.64,2499.3,3448.98
2013/3/29,1793.19,2495.08,3447.29
2013/4/1,1784.07,2493.19,3470.96
2013/4/2,1783.22,2486.39,3428.5
2013/4/3,1789.67,2483.55,3397.23
2013/4/8,1773.1,2472.3,3411.13
2013/4/9,1788.63,2489.43,3444.37
2013/4/10,1787.93,2485.31,3437.27
2013/4/11,1784.13,2477.88,3423.22
2013/4/12,1774.51,2462.11,3394.52
2013/4/15,1759.8,2436.82,3346.85
2013/4/16,1772.64,2459.59,3383.08
2013/4/17,1761.62,2458.47,3412.42
2013/4/18,1768.15,2464.85,3423.01
2013/4/19,1827.98,2533.83,3495.24
2013/4/22,1823.95,2530.67,3511.62
2013/4/23,1760.68,2449.47,3416.45
2013/4/24,1793.89,2495.58,3484.57
2013/4/25,1778.29,2467.88,3431.4
2013/4/26,1766.04,2447.31,3367.77
2013/5/2,1763.05,2449.64,3383.4
2013/5/3,1795.49,2492.91,3448.64
2013/5/6,1816.6,2525.98,3514.46
2013/5/7,1817.93,2529.94,3521.48
2013/5/8,1824.38,2542.8,3553.85
2013/5/9,1807.86,2527.79,3555.77
2013/5/10,1819.12,2540.84,3577.33
2013/5/13,1810.72,2530.77,3590.76
2013/5/14,1785.58,2493.34,3549.3
2013/5/15,1789.43,2506.93,3597.11
2013/5/16,1821.45,2552.71,3635.76
2013/5/17,1843.81,2592.05,3691.4
2013/5/20,1861.25,2609.61,3737.75
2013/5/21,1851.08,2614.85,3787.06
2013/5/22,1858.2,2618.03,3755.87
2013/5/23,1823.74,2582.85,3724.23
2013/5/24,1829.14,2597.23,3782.07
2013/5/27,1827.26,2599.59,3820.43
2013/5/28,1870.09,2644.36,3827.78
2013/5/29,1861.7,2642.56,3856.32
2013/5/30,1855.46,2634.32,3865.13
2013/5/31,1841.37,2606.43,3841.22
2013/6/3,1838.64,2602.62,3814.51
2013/6/4,1819.5,2565.67,3739.72
2013/6/5,1806.82,2560.54,3755.15
2013/6/6,1784.7,2527.85,3688.74
2013/6/7,1760.22,2484.16,3616.21
2013/6/13,1700.8,2399.94,3515.05
2013/6/14,1704.15,2416.77,3584.98
2013/6/17,1692.48,2403.84,3593.37
2013/6/18,1704.22,2418.75,3605.76
2013/6/19,1687.61,2400.77,3583.3
2013/6/20,1631.55,2321.47,3465
2013/6/21,1633.16,2317.39,3446.48
2013/6/24,1525.17,2171.21,3232.96
2013/6/25,1526.8,2165.42,3219.13
2013/6/26,1509.68,2168.3,3285.82
2013/6/27,1512.2,2160.74,3233.22
2013/6/28,1552.38,2200.64,3235.98
2013/7/1,1549.37,2213.32,3304.59
2013/7/2,1541.34,2221.98,3359.05
2013/7/3,1522.91,2203.83,3364.18
2013/7/4,1535.32,2221.98,3390.49
2013/7/5,1542.05,2226.85,3371.53
2013/7/8,1506.73,2163.62,3240.48
2013/7/9,1505.3,2162.67,3259.91
2013/7/10,1546.74,2224.07,3361.4
2013/7/11,1635.66,2326.69,3455.88
2013/7/12,1587.59,2275.37,3425.14
2013/7/15,1604.66,2307.3,3493.44
2013/7/16,1606.34,2317.85,3536.31
2013/7/17,1582.14,2282.84,3485.07
2013/7/18,1549.35,2245.33,3481.2
2013/7/19,1511.4,2190.48,3394.31
2013/7/22,1514.05,2202.19,3461.28
2013/7/23,1555.84,2265.85,3544.97
2013/7/24,1532.35,2249.15,3566.28
2013/7/25,1529.3,2237.68,3498.24
2013/7/26,1521.61,2224.01,3494.16
2013/7/29,1484.21,2175.97,3426.59
2013/7/30,1500.94,2189.39,3411.22
2013/7/31,1504.17,2193.02,3430.74
2013/8/1,1537.81,2245.36,3521.15
2013/8/2,1536.51,2247.26,3533.61
2013/8/5,1554.19,2278.33,3592.54
2013/8/6,1556.3,2293.64,3631.12
2013/8/7,1551.16,2280.62,3596.32
2013/8/8,1544.62,2276.78,3605.85
2013/8/9,1553.04,2286.01,3618.74
2013/8/12,1610.27,2352.79,3676.2
2013/8/13,1619.74,2359.07,3695.55
2013/8/14,1610.22,2349.08,3681.08
2013/8/15,1595.15,2321.58,3631.32
2013/8/16,1592.79,2304.14,3554.35
2013/8/19,1608.87,2331.43,3609.03
2013/8/20,1594.54,2312.47,3599.64
2013/8/21,1588.08,2308.59,3627.5
